"時間戳記","科系","學習程式語言幾年?","學習幾種程式語言?","1. 我會想要經常造訪這個網站","2. 我覺得設計過於複雜","3. 我認為這個網站容易使用","4. 我覺得使用這個網站時可能需要一些技術上的協助","5. 我覺得這個網站將很多功能整合得很好","6. 我認為這個網站缺乏一致性","7. 我認為大多數使用者都能快速了解如何使用這個網站","8. 我覺得這個網站使用上很麻煩","9. 我對這個網站感到信任","10. 我需要很多額外學習才順利使用這個網站","1. 我覺得這個介面是","2. 我覺得這個介面是","3. 我覺得這個介面是","4. 我覺得這個介面是","5. 我覺得這個介面是","6. 我覺得這個介面是","7. 主畫面之系統功能架構設計","8. 介面的功能階層","9. 系統介面檢索術語容易理解","10. 功能的指示呈現方式","11. 系統介面板塊區分恰當","12. 學習使用任務操作","13. 透過錯誤經驗了解其功能","14. 任務操作的執行易懂","1. 我覺得用手機發送重力感應器的過程變簡單","2. 不需要在手機上手動輸入資訊對我來說很有幫助","3. 使用掃描QR Code的方式來前往讀取手機重力感應器的網頁對我來說很有幫助","4. 在發送手機重力感應器值的時候有中斷連線按鈕的功能我覺得是必要的 (不需透過按上一頁來中斷連線)","5. 我覺得在ScratchX取用手機感應器值的過程變簡單","6. ScratchX積木中所需填入的資訊可以透過SEIoT網站中的clipboard(自動複製)功能來貼上我覺得很方便","7. 在ScratchX中取得手機重力感應器值的更新速度我覺得很即時","8. 是否能成功取得溫度的值?","9. 是否能成功取得濕度的值?","10. 在ScratchX中取用共享的IoT裝置數值的過程對我來說很容易"
"2017/06/16 2:57:39 下午 GMT+8","管理科學所","少於半年","1種","3","2","5","2","4","2","5","2","4","2","6","6","6","6","6","6","6","6","6","6","6","6","5","6","5","5","5","5","5","5","5","是","是","5"
"2017/06/16 2:59:41 下午 GMT+8","機械08","半年~1年","2種","3","2","3","3","3","2","3","2","3","2","4","4","5","4","4","5","5","4","5","4","5","5","5","5","4","5","4","4","4","4","4","是","是","4"
"2017/06/16 3:00:26 下午 GMT+8","機械","半年~1年","2種","3","2","4","3","3","3","2","3","2","3","5","5","5","5","4","4","5","5","5","5","4","5","5","5","4","4","4","4","4","4","4","是","是","4"
"2017/06/16 3:01:37 下午 GMT+8","材料系","少於半年","3種","1","4","2","4","3","4","2","4","3","4","5","3","5","4","3","3","3","4","3","5","5","4","5","5","3","2","4","4","3","4","4","是","否","2"
"2017/06/16 3:02:26 下午 GMT+8","管理科學系","1年~1年半","2種","4","2","4","5","4","2","3","2","5","3","7","5","5","7","4","3","7","6","5","5","6","5","7","7","5","5","5","5","5","5","5","是","是","5"
"2017/06/16 3:02:56 下午 GMT+8","資財","1年半~3年","2種","2","3","3","4","3","4","2","4","3","2","4","3","4","3","3","4","3","3","3","3","3","3","5","4","2","4","5","5","4","4","5","是","是","3"
"2017/06/16 3:03:49 下午 GMT+8","運管系","1年半~3年","2種","3","2","4","4","3","2","4","2","3","3","5","5","4","4","3","3","5","5","5","5","5","4","4","5","3","4","3","3","3","4","4","是","是","4"
"2017/06/16 3:06:07 下午 GMT+8","管科系","半年~1年","2種","3","4","2","4","4","2","2","3","4","3","6","3","4","5","4","6","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","是","是","5"
"2017/06/16 3:06:40 下午 GMT+8","管理科學系","半年~1年","4種","2","1","5","5","5","1","5","2","5","2","7","5","7","6","6","7","5","5","4","4","5","6","6","6","5","5","5","5","5","5","5","是","是","5"
"2017/06/16 3:06:49 下午 GMT+8","工工系","1年半~3年","5種以上","3","2","4","2","4","3","4","2","4","2","6","6","6","7","5","7","6","7","5","6","6","6","5","6","5","5","5","5","5","3","4","是","是","4"
"2017/06/16 3:08:33 下午 GMT+8","工工","半年~1年","2種","2","2","4","4","4","2","4","2","4","4","3","5","5","5","5","5","3","5","5","3","5","5","3","5","4","4","4","4","4","5","4","是","是","4"
"2017/06/16 3:09:01 下午 GMT+8","機械系","1年~1年半","2種","3","3","3","4","3","2","3","3","3","3","5","5","5","5","5","5","4","4","4","4","4","4","4","4","3","3","4","3","3","5","5","是","是","3"
"2017/06/16 3:10:07 下午 GMT+8","應數系","1年半~3年","3種","3","2","4","3","5","3","3","2","3","2","6","7","6","6","6","5","6","5","6","6","6","6","6","6","5","5","5","5","5","4","5","是","是","5"
"2017/06/16 3:13:04 下午 GMT+8","外文","半年~1年","3種","3","2","4","4","4","2","3","3","4","4","6","7","6","4","4","3","6","6","5","6","6","6","4","4","5","5","4","3","4","5","5","是","是","4"
"2017/06/16 3:13:32 下午 GMT+8","人社","少於半年","1種","3","2","4","3","3","3","4","2","3","2","4","5","4","4","4","4","5","4","5","6","4","5","4","4","4","5","5","3","4","5","3","是","是","3"
"2017/06/16 3:14:57 下午 GMT+8","材料系","1年~1年半","3種","3","4","3","4","4","3","4","3","3","2","5","3","4","5","4","5","3","5","5","3","5","3","6","4","4","4","4","5","4","4","1","是","是","3"
"2017/06/16 3:16:13 下午 GMT+8","機械","1年~1年半","2種","1","4","1","4","2","2","3","2","2","1","4","4","3","4","4","4","6","6","6","4","4","4","6","6","3","5","3","5","5","4","3","是","是","3"
"2017/06/16 3:17:13 下午 GMT+8","光電所","1年~1年半","2種","4","3","3","3","3","3","3","3","3","3","6","6","6","6","6","6","6","6","6","7","6","6","7","6","4","3","4","3","4","3","4","是","是","4"